"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"19.08.2025","5.492,00","5.474,50","5.506,00","5.474,50","1,14M","0,65%"
"18.08.2025","5.456,50","5.422,00","5.460,00","5.422,00","2,01M","0,66%"
"15.08.2025","5.420,80","5.428,00","5.429,50","5.405,50","1,90M","-0,26%"
"14.08.2025","5.434,86","5.425,50","5.455,50","5.417,50","2,66M","0,15%"
"13.08.2025","5.426,48","5.413,00","5.435,00","5.404,00","2,35M","0,20%"
"12.08.2025","5.415,72","5.468,50","5.470,50","5.411,50","2,85M","-1,03%"
"11.08.2025","5.472,27","5.470,00","5.487,50","5.462,00","2,02M","0,17%"
"08.08.2025","5.463,15","5.457,00","5.473,50","5.445,00","2,46M","-0,32%"
"07.08.2025","5.480,70","5.498,00","5.509,00","5.445,50","2,96M","-0,30%"
"06.08.2025","5.497,04","5.538,50","5.545,50","5.492,00","2,65M","-0,80%"
"05.08.2025","5.541,22","5.570,50","5.573,00","5.535,00","2,24M","-0,16%"
"04.08.2025","5.550,07","5.572,00","5.583,00","5.531,50","2,48M","-0,80%"
"01.08.2025","5.595,07","5.662,00","5.669,50","5.568,00","3,37M","-0,13%"
"31.07.2025","5.602,10","5.572,50","5.622,00","5.563,50","145,33K","0,67%"
"30.07.2025","5.564,68","5.580,50","5.632,00","5.536,00","3,81M","-0,09%"
"29.07.2025","5.569,88","5.604,00","5.607,50","5.562,00","2,85M","-0,60%"
"28.07.2025","5.603,76","5.592,50","5.611,50","5.573,50","2,42M","0,53%"
"25.07.2025","5.574,47","5.540,00","5.581,00","5.528,50","2,37M","0,75%"
"24.07.2025","5.532,83","5.534,50","5.549,00","5.521,50","2,31M","0,09%"
"23.07.2025","5.527,76","5.575,00","5.588,50","5.520,50","2,59M","-0,92%"
"22.07.2025","5.578,90","5.584,50","5.603,50","5.564,00","2,54M","0,02%"
"21.07.2025","5.577,77","5.610,00","5.626,50","5.565,00","2,21M","-0,59%"
"18.07.2025","5.610,90","5.581,00","5.615,00","5.539,50","2,87M","0,81%"
"17.07.2025","5.565,95","5.601,00","5.629,00","5.556,50","2,58M","-0,28%"
"16.07.2025","5.581,43","5.585,00","5.613,50","5.560,00","3,28M","-0,04%"
"15.07.2025","5.583,46","5.599,00","5.627,00","5.556,50","3,55M","-0,45%"
"14.07.2025","5.608,82","5.591,50","5.621,50","5.568,50","2,50M","0,66%"
"11.07.2025","5.571,80","5.579,50","5.619,00","5.567,50","2,76M","-0,20%"
"10.07.2025","5.583,00","5.643,50","5.658,00","5.553,00","3,92M","1,20%"
"09.07.2025","5.516,54","5.488,00","5.638,00","5.478,00","3,20M","0,85%"
"08.07.2025","5.469,88","5.505,50","5.510,50","5.467,00","2,65M","-0,81%"
"07.07.2025","5.514,46","5.474,00","5.526,00","5.470,50","2,73M","1,04%"
"04.07.2025","5.457,84","5.455,50","5.462,00","5.437,50","1,29M","0,17%"
"03.07.2025","5.448,73","5.465,00","5.482,50","5.437,50","2,45M","-0,19%"
"02.07.2025","5.459,27","5.502,00","5.518,50","5.452,50","2,89M","-0,85%"
"01.07.2025","5.506,11","5.467,50","5.509,50","5.457,50","2,53M","0,90%"
"30.06.2025","5.457,10","5.486,00","5.505,00","5.454,00","196,99K","-0,58%"
"27.06.2025","5.489,08","5.489,50","5.507,00","5.461,50","3,00M","-0,16%"
"26.06.2025","5.497,66","5.552,00","5.567,00","5.411,50","2,92M","-1,02%"
"25.06.2025","5.554,29","5.517,50","5.579,00","5.515,00","2,91M","0,53%"
"24.06.2025","5.524,88","5.482,00","5.530,00","5.482,00","2,86M","0,24%"
"23.06.2025","5.511,42","5.545,50","5.552,50","5.501,00","2,81M","-0,40%"
"20.06.2025","5.533,35","5.483,00","5.538,00","5.480,00","2,34M","0,30%"
"18.06.2025","5.517,05","5.506,00","5.524,50","5.488,00","2,59M","-0,01%"
"17.06.2025","5.517,59","5.508,00","5.521,00","5.480,00","2,99M","0,10%"
"16.06.2025","5.511,84","5.543,00","5.553,50","5.498,00","2,72M","-0,79%"
"13.06.2025","5.555,85","5.587,00","5.612,00","5.548,50","2,77M","-0,09%"
"12.06.2025","5.561,08","5.550,00","5.579,50","5.544,50","2,36M","0,02%"
"11.06.2025","5.559,89","5.591,00","5.602,00","5.542,50","2,75M","-0,67%"
"10.06.2025","5.597,34","5.581,50","5.601,00","5.561,50","2,46M","0,26%"
"09.06.2025","5.583,04","5.596,50","5.624,50","5.577,50","2,36M","-0,14%"
"06.06.2025","5.590,72","5.624,00","5.645,50","5.585,00","2,96M","-0,50%"
"05.06.2025","5.618,98","5.665,00","5.668,50","5.608,00","2,85M","-1,06%"
"04.06.2025","5.679,22","5.670,00","5.684,00","5.641,50","2,45M","0,17%"
"03.06.2025","5.669,43","5.714,00","5.745,00","5.658,50","2,89M","-0,84%"
"02.06.2025","5.717,64","5.737,50","5.745,00","5.701,50","2,48M","0,16%"
"30.05.2025","5.708,70","5.670,00","5.717,00","5.659,50","186,13K","0,89%"
"29.05.2025","5.658,15","5.700,50","5.706,00","5.645,00","2,49M","-0,60%"
"28.05.2025","5.692,06","5.653,00","5.721,00","5.647,00","2,80M","0,81%"
"27.05.2025","5.646,60","5.665,00","5.677,00","5.640,00","2,41M","-0,58%"
"26.05.2025","5.679,31","5.650,00","5.686,00","5.642,00","1,62M","0,29%"
"23.05.2025","5.662,85","5.740,00","5.752,50","5.650,50","3,07M","0,16%"
"22.05.2025","5.653,59","5.660,50","5.783,50","5.604,50","4,27M","-0,26%"
"21.05.2025","5.668,40","5.683,00","5.691,00","5.652,50","2,51M","-0,48%"
"20.05.2025","5.695,99","5.662,50","5.698,50","5.657,50","2,78M","0,58%"
"19.05.2025","5.662,88","5.676,50","5.708,50","5.650,00","2,54M","-0,44%"
"16.05.2025","5.687,89","5.693,00","5.733,00","5.680,00","2,58M","-0,31%"
"15.05.2025","5.705,33","5.654,00","5.719,00","5.635,00","3,20M","1,12%"
"14.05.2025","5.642,08","5.627,00","5.665,00","5.604,50","2,92M","0,37%"
"13.05.2025","5.621,18","5.686,50","5.699,00","5.619,00","3,20M","-1,71%"
"12.05.2025","5.718,74","5.700,00","5.733,00","5.687,00","2,70M","0,69%"
"09.05.2025","5.679,29","5.697,50","5.698,50","5.666,50","2,37M","-0,54%"
"08.05.2025","5.710,05","5.752,00","5.780,50","5.689,50","2,95M","-1,22%"
"07.05.2025","5.780,56","5.740,00","5.795,50","5.730,00","2,76M","0,66%"
"06.05.2025","5.742,80","5.733,00","5.772,00","5.726,50","2,92M","0,35%"
"05.05.2025","5.722,71","5.691,50","5.739,50","5.664,50","2,33M","0,56%"
"02.05.2025","5.691,08","5.710,00","5.715,00","5.664,00","2,29M","0,53%"
"30.04.2025","5.660,80","5.620,50","5.669,00","5.604,50","188,08K","0,48%"
"29.04.2025","5.633,54","5.661,50","5.664,00","5.614,00","2,52M","-0,37%"
"28.04.2025","5.654,47","5.700,00","5.702,50","5.648,00","2,87M","-0,65%"
"25.04.2025","5.691,50","5.705,50","5.712,00","5.669,00","2,45M","0,05%"
"24.04.2025","5.688,67","5.711,00","5.711,00","5.667,50","2,77M","-0,52%"
"23.04.2025","5.718,24","5.708,00","5.735,00","5.664,00","3,13M","-0,20%"
"22.04.2025","5.729,49","5.804,00","5.810,50","5.725,50","2,68M","-1,42%"
"17.04.2025","5.812,31","5.885,50","5.899,50","5.807,00","2,79M","-0,98%"
"16.04.2025","5.869,77","5.880,00","5.929,00","5.865,00","2,83M","-0,61%"
"15.04.2025","5.905,66","5.870,00","5.915,50","5.845,00","2,62M","0,66%"
"14.04.2025","5.866,98","5.859,50","5.888,50","5.841,50","2,50M","-0,40%"
"11.04.2025","5.890,32","5.843,00","5.935,50","5.833,00","3,49M","-0,34%"
"10.04.2025","5.910,42","5.879,50","5.975,00","5.842,50","3,81M","0,52%"
"09.04.2025","5.879,73","6.049,50","6.117,50","5.836,00","4,97M","-2,07%"
"08.04.2025","6.004,08","5.898,50","6.042,00","5.883,50","4,14M","1,14%"
"07.04.2025","5.936,21","5.905,00","5.958,50","5.839,50","4,19M","1,20%"
"04.04.2025","5.865,65","5.726,50","5.884,50","5.724,00","4,32M","3,85%"
"03.04.2025","5.647,95","5.652,50","5.672,00","5.619,50","3,10M","-1,22%"
"02.04.2025","5.717,72","5.710,00","5.742,00","5.675,00","3,13M","0,11%"
"01.04.2025","5.711,31","5.744,00","5.762,00","5.702,00","2,54M","-0,54%"
"31.03.2025","5.742,20","5.768,00","5.787,00","5.737,50","161,05K","-0,28%"
"28.03.2025","5.758,48","5.750,50","5.784,00","5.748,00","2,62M","0,05%"
"27.03.2025","5.755,80","5.729,00","5.775,50","5.726,00","2,61M","0,27%"
"26.03.2025","5.740,08","5.711,00","5.752,50","5.699,00","2,45M","0,69%"
"25.03.2025","5.700,59","5.761,00","5.761,50","5.684,50","2,88M","-1,05%"
"24.03.2025","5.760,97","5.722,50","5.781,50","5.711,50","2,61M","0,58%"
"21.03.2025","5.727,97","5.699,50","5.748,00","5.692,50","2,54M","0,77%"
"20.03.2025","5.684,11","5.675,00","5.695,00","5.660,00","2,56M","0,61%"
"19.03.2025","5.649,69","5.698,50","5.704,50","5.645,50","2,61M","-0,60%"
"18.03.2025","5.683,63","5.719,00","5.730,50","5.671,00","2,53M","-0,08%"
"17.03.2025","5.688,34","5.756,00","5.761,00","5.683,50","2,72M","-1,23%"
"14.03.2025","5.759,21","5.810,00","5.812,00","5.732,00","2,92M","-1,21%"
"13.03.2025","5.829,91","5.843,50","5.858,00","5.813,50","2,20M","0,15%"
"12.03.2025","5.821,42","5.836,00","5.870,00","5.808,00","2,70M","-0,23%"
"11.03.2025","5.835,03","5.864,00","5.873,50","5.828,00","2,78M","-0,93%"
"10.03.2025","5.889,90","5.818,00","5.899,00","5.798,00","3,11M","1,23%"
"07.03.2025","5.818,51","5.788,00","5.827,50","5.780,50","2,64M","0,53%"
"06.03.2025","5.788,04","5.781,00","5.810,50","5.762,00","3,03M","-0,25%"
"05.03.2025","5.802,45","5.871,50","5.873,50","5.768,00","2,21M","-0,79%"
"28.02.2025","5.848,80","5.839,00","5.861,00","5.829,00","150,94K","0,40%"
"27.02.2025","5.825,21","5.819,00","5.843,00","5.797,50","2,97M","0,59%"
"26.02.2025","5.791,29","5.742,50","5.819,00","5.735,00","3,46M","0,69%"
"25.02.2025","5.751,74","5.768,50","5.816,50","5.742,00","3,23M","0,03%"
"24.02.2025","5.750,06","5.724,00","5.789,50","5.712,50","2,69M","0,23%"
"21.02.2025","5.737,08","5.711,50","5.743,00","5.700,50","2,77M","0,53%"
"20.02.2025","5.707,01","5.712,00","5.725,00","5.695,00","2,63M","-0,30%"
"19.02.2025","5.724,12","5.712,00","5.741,50","5.691,00","2,88M","0,39%"
"18.02.2025","5.701,89","5.724,00","5.735,00","5.686,00","2,69M","-0,37%"
"17.02.2025","5.722,85","5.724,50","5.734,50","5.707,50","1,77M","-0,09%"
"14.02.2025","5.727,77","5.778,50","5.783,50","5.705,00","2,74M","-1,19%"
"13.02.2025","5.796,90","5.775,00","5.814,00","5.770,50","2,90M","0,27%"
"12.02.2025","5.781,13","5.787,00","5.805,00","5.760,00","3,14M","-0,12%"
"11.02.2025","5.787,84","5.818,00","5.826,00","5.776,00","2,67M","-0,24%"
"10.02.2025","5.801,72","5.831,50","5.846,00","5.785,50","2,55M","-0,35%"
"07.02.2025","5.822,06","5.796,50","5.837,00","5.758,00","3,60M","0,71%"
"06.02.2025","5.780,93","5.830,50","5.850,00","5.773,50","3,10M","-0,57%"
"05.02.2025","5.813,86","5.787,00","5.844,00","5.775,00","2,88M","0,21%"
"04.02.2025","5.801,73","5.828,50","5.854,50","5.776,50","3,01M","-0,78%"
"03.02.2025","5.847,38","5.897,00","5.935,00","5.823,50","3,40M","0,30%"
"31.01.2025","5.830,10","5.863,50","5.874,50","5.815,50","186,35K","-0,65%"
"30.01.2025","5.868,23","5.864,00","5.957,50","5.850,00","3,39M","-0,07%"
"29.01.2025","5.872,61","5.866,00","5.891,00","5.845,00","3,10M","0,06%"
"28.01.2025","5.869,20","5.916,50","5.925,00","5.860,00","2,91M","-0,85%"
"27.01.2025","5.919,78","5.950,50","5.962,00","5.898,50","2,83M","0,15%"
"24.01.2025","5.910,67","5.912,00","5.932,50","5.875,00","2,83M","-0,04%"
"23.01.2025","5.913,26","5.952,00","5.980,00","5.882,50","3,55M","-0,47%"
"22.01.2025","5.941,14","6.023,00","6.030,00","5.925,00","3,77M","-1,59%"
"21.01.2025","6.037,38","6.065,00","6.080,00","6.029,00","2,71M","-0,31%"
"20.01.2025","6.056,39","6.080,00","6.100,00","6.035,00","2,60M","-0,29%"
"17.01.2025","6.074,07","6.072,00","6.104,50","6.041,50","2,97M","-0,12%"
"16.01.2025","6.081,57","6.040,00","6.086,00","6.011,00","3,24M","0,63%"
"15.01.2025","6.043,77","6.065,00","6.087,00","6.020,00","3,07M","-0,44%"
"14.01.2025","6.070,73","6.113,50","6.113,50","6.060,50","3,03M","-0,66%"
"13.01.2025","6.110,77","6.149,50","6.159,00","6.097,50","2,66M","-0,21%"
"10.01.2025","6.123,53","6.064,00","6.150,00","6.055,00","3,09M","0,72%"
"09.01.2025","6.079,62","6.132,00","6.147,50","6.056,00","2,86M","-1,09%"
"08.01.2025","6.146,35","6.151,50","6.182,00","6.127,50","2,82M","0,25%"
"07.01.2025","6.130,92","6.143,00","6.147,00","6.080,50","3,16M","-0,20%"
"06.01.2025","6.143,03","6.176,50","6.183,50","6.121,00","2,87M","-1,13%"
"03.01.2025","6.213,02","6.180,00","6.232,00","6.166,50","2,66M","0,32%"
"02.01.2025","6.193,11","6.219,50","6.261,00","6.175,00","2,71M","0,01%"